station_complex,label
103 St-Corona Plaza (7),Workday Like
103 St (1),Weekend - Going Out
103 St (6),Weekend - Going Out
"103 St (C,B)",Weekend - Going Out
104 St (A),Workday Like
"104 St (J,Z)",Workday Like
110 St (6),Weekend - Going Out
111 St (7),Workday Like
111 St (A),Workday Like
111 St (J),Workday Like
116 St-Columbia University (1),Weekend - Out Late
"116 St (2,3)",Weekend - Going Out
116 St (6),Weekend - Going Out
"116 St (C,B)",Weekend - Going Out
"121 St (J,Z)",Workday Like
125 St (1),Weekend - Going Out
"125 St (2,3)",Weekend - Going Out
"125 St (4,5,6)",Workday Like
"125 St (A,C,B,D)",Weekend - Going Out
"135 St (2,3)",Weekend - Going Out
"135 St (C,B)",Weekend - Going Out
137 St-City College (1),Weekend - Going Out
"138 St-Grand Concourse (4,5)",Weekend - Going Out
145 St (1),Weekend - Going Out
145 St (3),Weekend - Going Out
"145 St (A,C,B,D)",Weekend - Going Out
"149 St-Grand Concourse (2,4,5)",Workday Like
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",Weekend - Going Out
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",Weekend - Going Out
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",Weekend - Going Out
"14 St (A,C,E)/8 Av (L)",Weekend - Out Late
"14 St (A,C,E)/8 Av (L)",Weekend - Out Late
"14 St (F,M,1,2,3)/6 Av (L)",Weekend - Out Late
"14 St (F,M,1,2,3)/6 Av (L)",Weekend - Out Late
"14 St (F,M,1,2,3)/6 Av (L)",Weekend - Out Late
"14 St (F,M,1,2,3)/6 Av (L)",Weekend - Out Late
"155 St (B,D)",Weekend - Going Out
155 St (C),Weekend - Going Out
157 St (1),Weekend - Going Out
"15 St-Prospect Park (F,G)",Weekend - Going Out
"161 St-Yankee Stadium (B,D,4)",Workday Like
"161 St-Yankee Stadium (B,D,4)",Workday Like
"161 St-Yankee Stadium (B,D,4)",Workday Like
163 St-Amsterdam Av (C),Weekend - Going Out
167 St (4),Workday Like
"167 St (B,D)",Weekend - Going Out
"168 St (A,C,1)",Weekend - Going Out
